type,id,c,c++,java,python
UF,int,1,1,1,1
UF,float,1,1,1,1
UF,double,1,1,1,1
UF,bool,1,1,1,1
UF,Bool,,,1,
UF,Integer,1,1,1,1
UF,Float,,,1,
UF,Double,,,1,
UF,boolean,,,1,
UF,Boolean,,,1,
UF,long,1,1,1,
UF,Long,,,1,
UF,string,1,1,,
UF,String,,,1,
UF,void,1,1,1,
UF,static,1,1,1,
UF,class,1,1,1,
UF,struct,1,1,1,
UF,def,,,,1
UF,vector,1,,,
UF,Vector,,,1,
UF,ArrayList,,,1,
UF,map,1,1,1,
UF,HashMap,,,1,
UF,LinkedList,,,1,
UF,priority_queue,1,1,,1
UF,queue,1,1,,1
UF,Queue,,,1,1
UF,Stack,,,1,1
UF,stack,1,1,,1
UF,Array,,,1,
UF,dequeue,1,1,,1
UF,Dequeue,,,1,1
UF,define,1,1,,
UF,typedef,1,1,,,
UF,pair,1,1,,,
UF,new,1,1,1,,
UF,list,,,,1
