type,id,c,c++,java,python
B,+,1,1,1,1
B,-,1,1,1,1
B,*,1,1,1,1
B,/,1,1,1,1
B,%,1,1,1,1
B,^,1,1,1,1
B,|,1,1,1,1
B,>,1,1,1,1
B,>=1,1,1,1,
B,<,1,1,1,1
B,<=1,1,1,1,
B,&,1,1,1,1
B,and,,,,1
B,or,,,,1
UF,not,,,,1
B,in,,,,1
UF,~,1,1,1,1
B,+=,1,1,1,1
B,-=,1,1,1,1
B,*=,1,1,1,1
B,/=,1,1,1,1
UB,++,1,1,1,
UB,--,1,1,1,
B,==,1,1,1,1
B,!=,1,1,1,1
N,;,1,1,1,
B,.,1,1,1,1
B,=,1,1,1,1
UF,(,1,1,1,1
UB,),1,1,1,1
UF,{,1,1,1,1
UB,},1,1,1,1
UF,[,1,1,1,1
UB,],1,1,1,1
N,:,,,,1
UF,::,1,1,,
UF,/*,1,1,1,
UB,*/,1,1,1,
B,//,1,1,1,
B,**,,,,1
